날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2022년 12월,강서구,화곡4동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 12월,강서구,화곡1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 12월,강서구,화곡8동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,방화2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,방화1동,일식>카레/돈가스/덮밥,I20302,"3,860,233원",189건
2022년 11월,강서구,가양1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,공항동,일식>카레/돈가스/덮밥,I20302,"3,860,233원",189건
2022년 11월,강서구,가양2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,등촌3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,가양3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,염창동,일식>카레/돈가스/덮밥,I20302,"3,946,214원",121건
2022년 11월,강서구,발산1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,우장산동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,등촌1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,화곡6동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,화곡3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,화곡본동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,등촌2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,화곡4동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,화곡1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 11월,강서구,화곡8동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,방화2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,방화1동,일식>카레/돈가스/덮밥,I20302,"4,218,517원",195건
2022년 10월,강서구,가양1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,공항동,일식>카레/돈가스/덮밥,I20302,"4,218,517원",195건
2022년 10월,강서구,가양2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,등촌3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,가양3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,염창동,일식>카레/돈가스/덮밥,I20302,"3,353,300원",112건
2022년 10월,강서구,발산1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,우장산동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,등촌1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,화곡6동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,화곡3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,화곡본동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,등촌2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,화곡4동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,화곡1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 10월,강서구,화곡8동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,방화2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,방화1동,일식>카레/돈가스/덮밥,I20302,"4,312,267원",195건
2022년 09월,강서구,가양1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,공항동,일식>카레/돈가스/덮밥,I20302,"4,312,267원",195건
2022년 09월,강서구,가양2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,등촌3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,가양3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,염창동,일식>카레/돈가스/덮밥,I20302,"3,623,460원",121건
2022년 09월,강서구,발산1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,우장산동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,등촌1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,화곡6동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,화곡3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,화곡본동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,등촌2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,화곡4동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,화곡1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 09월,강서구,화곡8동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,방화2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,방화1동,일식>카레/돈가스/덮밥,I20302,"3,675,188원",171건
2022년 08월,강서구,가양1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,공항동,일식>카레/돈가스/덮밥,I20302,"3,675,188원",171건
2022년 08월,강서구,가양2동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,등촌3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,가양3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,염창동,일식>카레/돈가스/덮밥,I20302,"4,298,840원",144건
2022년 08월,강서구,발산1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,우장산동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,등촌1동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,화곡6동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,화곡3동,일식>카레/돈가스/덮밥,I20302,0원,0건
2022년 08월,강서구,화곡본동,일식>카레/돈가스/덮밥,I20302,0원,0건
