날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 06월,강서구,가양2동,한식>곱창전골/구이,I20109,"1,007,000원",48건
2023년 06월,강서구,등촌3동,한식>곱창전골/구이,I20109,"4,947,285원",158건
2023년 06월,강서구,가양3동,한식>곱창전골/구이,I20109,"1,007,000원",48건
2023년 06월,강서구,발산1동,한식>곱창전골/구이,I20109,"4,762,848원",198건
2023년 06월,강서구,우장산동,한식>곱창전골/구이,I20109,"5,420,486원",220건
2023년 06월,강서구,화곡6동,한식>곱창전골/구이,I20109,"7,012,434원",278건
2023년 06월,강서구,등촌1동,한식>곱창전골/구이,I20109,"4,947,285원",158건
2023년 06월,강서구,염창동,한식>곱창전골/구이,I20109,"766,750원",31건
2023년 06월,강서구,등촌2동,한식>곱창전골/구이,I20109,"4,947,285원",158건
2023년 06월,강서구,화곡3동,한식>곱창전골/구이,I20109,"7,012,434원",278건
2023년 06월,강서구,화곡본동,한식>곱창전골/구이,I20109,"7,012,434원",278건
2023년 06월,강서구,화곡1동,한식>곱창전골/구이,I20109,"7,012,434원",278건
2023년 06월,강서구,화곡4동,한식>곱창전골/구이,I20109,"7,012,434원",278건
2023년 06월,강서구,화곡8동,한식>곱창전골/구이,I20109,"7,012,434원",278건
2023년 06월,강서구,화곡2동,한식>곱창전골/구이,I20109,"7,012,434원",278건
2023년 05월,강서구,방화2동,한식>곱창전골/구이,I20109,"3,864,070원",153건
2023년 05월,강서구,방화1동,한식>곱창전골/구이,I20109,"5,070,851원",194건
2023년 05월,강서구,가양1동,한식>곱창전골/구이,I20109,"4,423,197원",166건
2023년 05월,강서구,공항동,한식>곱창전골/구이,I20109,"5,070,851원",194건
2023년 05월,강서구,가양2동,한식>곱창전골/구이,I20109,"1,493,000원",63건
2023년 05월,강서구,등촌3동,한식>곱창전골/구이,I20109,"5,256,707원",173건
2023년 05월,강서구,가양3동,한식>곱창전골/구이,I20109,"1,493,000원",63건
2023년 05월,강서구,발산1동,한식>곱창전골/구이,I20109,"5,443,876원",225건
2023년 05월,강서구,우장산동,한식>곱창전골/구이,I20109,"5,972,020원",245건
2023년 05월,강서구,화곡6동,한식>곱창전골/구이,I20109,"7,576,173원",302건
2023년 05월,강서구,등촌1동,한식>곱창전골/구이,I20109,"5,256,707원",173건
2023년 05월,강서구,염창동,한식>곱창전골/구이,I20109,"1,253,833원",42건
2023년 05월,강서구,등촌2동,한식>곱창전골/구이,I20109,"5,256,707원",173건
2023년 05월,강서구,화곡3동,한식>곱창전골/구이,I20109,"7,576,173원",302건
2023년 05월,강서구,화곡본동,한식>곱창전골/구이,I20109,"7,576,173원",302건
2023년 05월,강서구,화곡1동,한식>곱창전골/구이,I20109,"7,576,173원",302건
2023년 05월,강서구,화곡8동,한식>곱창전골/구이,I20109,"7,576,173원",302건
2023년 05월,강서구,화곡2동,한식>곱창전골/구이,I20109,"7,576,173원",302건
2023년 05월,강서구,화곡4동,한식>곱창전골/구이,I20109,"7,576,173원",302건
2023년 04월,강서구,방화2동,한식>곱창전골/구이,I20109,"4,258,255원",168건
2023년 04월,강서구,방화1동,한식>곱창전골/구이,I20109,"4,956,040원",193건
2023년 04월,강서구,가양1동,한식>곱창전골/구이,I20109,"4,587,172원",173건
