날짜,자치구,동,업종,업종코드,평균매출액,평균배달건수
2023년 04월,강서구,등촌3동,기타간이>버거,I21004,"6,792,998원",371건
2023년 04월,강서구,가양3동,기타간이>버거,I21004,"2,554,775원",148건
2023년 04월,강서구,발산1동,기타간이>버거,I21004,"6,754,270원",348건
2023년 04월,강서구,우장산동,기타간이>버거,I21004,"6,994,437원",382건
2023년 04월,강서구,등촌1동,기타간이>버거,I21004,"6,792,998원",371건
2023년 04월,강서구,염창동,기타간이>버거,I21004,"5,180,635원",274건
2023년 04월,강서구,화곡6동,기타간이>버거,I21004,"8,248,758원",460건
2023년 04월,강서구,등촌2동,기타간이>버거,I21004,"6,792,998원",371건
2023년 04월,강서구,화곡3동,기타간이>버거,I21004,"8,248,758원",460건
2023년 04월,강서구,화곡본동,기타간이>버거,I21004,"8,248,758원",460건
2023년 04월,강서구,화곡1동,기타간이>버거,I21004,"8,248,758원",460건
2023년 04월,강서구,화곡4동,기타간이>버거,I21004,"8,248,758원",460건
2023년 04월,강서구,화곡8동,기타간이>버거,I21004,"8,248,758원",460건
2023년 04월,강서구,화곡2동,기타간이>버거,I21004,"8,248,758원",460건
2023년 03월,강서구,방화2동,기타간이>버거,I21004,"6,668,933원",399건
2023년 03월,강서구,방화1동,기타간이>버거,I21004,"14,436,839원",804건
2023년 03월,강서구,가양1동,기타간이>버거,I21004,"6,075,109원",326건
2023년 03월,강서구,공항동,기타간이>버거,I21004,"14,436,839원",804건
2023년 03월,강서구,가양2동,기타간이>버거,I21004,"3,196,375원",176건
2023년 03월,강서구,등촌3동,기타간이>버거,I21004,"6,642,169원",379건
2023년 03월,강서구,가양3동,기타간이>버거,I21004,"3,196,375원",176건
2023년 03월,강서구,발산1동,기타간이>버거,I21004,"6,596,288원",344건
2023년 03월,강서구,우장산동,기타간이>버거,I21004,"6,861,763원",379건
2023년 03월,강서구,등촌1동,기타간이>버거,I21004,"6,642,169원",379건
2023년 03월,강서구,염창동,기타간이>버거,I21004,"5,149,265원",281건
2023년 03월,강서구,화곡6동,기타간이>버거,I21004,"8,917,734원",491건
2023년 03월,강서구,등촌2동,기타간이>버거,I21004,"6,642,169원",379건
2023년 03월,강서구,화곡3동,기타간이>버거,I21004,"8,917,734원",491건
2023년 03월,강서구,화곡본동,기타간이>버거,I21004,"8,917,734원",491건
2023년 03월,강서구,화곡1동,기타간이>버거,I21004,"8,917,734원",491건
2023년 03월,강서구,화곡4동,기타간이>버거,I21004,"8,917,734원",491건
2023년 03월,강서구,화곡8동,기타간이>버거,I21004,"8,917,734원",491건
2023년 03월,강서구,화곡2동,기타간이>버거,I21004,"8,917,734원",491건
2023년 02월,강서구,방화2동,기타간이>버거,I21004,"6,967,775원",370건
2023년 02월,강서구,방화1동,기타간이>버거,I21004,"14,588,604원",792건
2023년 02월,강서구,가양1동,기타간이>버거,I21004,"5,901,058원",311건
2023년 02월,강서구,공항동,기타간이>버거,I21004,"14,588,604원",792건
2023년 02월,강서구,가양2동,기타간이>버거,I21004,"2,591,925원",142건
2023년 02월,강서구,등촌3동,기타간이>버거,I21004,"6,408,412원",365건
2023년 02월,강서구,가양3동,기타간이>버거,I21004,"2,591,925원",142건
2023년 02월,강서구,발산1동,기타간이>버거,I21004,"7,119,410원",365건
2023년 02월,강서구,우장산동,기타간이>버거,I21004,"6,399,482원",361건
2023년 02월,강서구,등촌1동,기타간이>버거,I21004,"6,408,412원",365건
2023년 02월,강서구,염창동,기타간이>버거,I21004,"5,143,409원",277건
2023년 02월,강서구,화곡6동,기타간이>버거,I21004,"7,262,981원",417건
2023년 02월,강서구,등촌2동,기타간이>버거,I21004,"6,408,412원",365건
2023년 02월,강서구,화곡3동,기타간이>버거,I21004,"7,262,981원",417건
2023년 02월,강서구,화곡본동,기타간이>버거,I21004,"7,262,981원",417건
2023년 02월,강서구,화곡1동,기타간이>버거,I21004,"7,262,981원",417건
2023년 02월,강서구,화곡4동,기타간이>버거,I21004,"7,262,981원",417건
2023년 02월,강서구,화곡8동,기타간이>버거,I21004,"7,262,981원",417건
2023년 02월,강서구,화곡2동,기타간이>버거,I21004,"7,262,981원",417건
2023년 01월,강서구,방화2동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,방화1동,기타간이>버거,I21004,"20,705,650원","1,157건"
2023년 01월,강서구,가양1동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,공항동,기타간이>버거,I21004,"20,705,650원","1,157건"
2023년 01월,강서구,가양2동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,등촌3동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,가양3동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,발산1동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,우장산동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,등촌1동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,염창동,기타간이>버거,I21004,"7,641,375원",408건
2023년 01월,강서구,화곡6동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,등촌2동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,화곡3동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,화곡본동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,화곡1동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,화곡4동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,화곡8동,기타간이>버거,I21004,0원,0건
2023년 01월,강서구,화곡2동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,방화2동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,방화1동,기타간이>버거,I21004,"17,638,106원",993건
2022년 12월,강서구,가양1동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,공항동,기타간이>버거,I21004,"17,638,106원",993건
2022년 12월,강서구,가양2동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,등촌3동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,가양3동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,발산1동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,우장산동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,등촌1동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,염창동,기타간이>버거,I21004,"8,497,900원",457건
2022년 12월,강서구,화곡6동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,등촌2동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,화곡3동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,화곡본동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,화곡1동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,화곡4동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,화곡8동,기타간이>버거,I21004,0원,0건
2022년 12월,강서구,화곡2동,기타간이>버거,I21004,0원,0건
2022년 11월,강서구,방화2동,기타간이>버거,I21004,0원,0건
2022년 11월,강서구,방화1동,기타간이>버거,I21004,"16,823,431원",947건
2022년 11월,강서구,가양1동,기타간이>버거,I21004,0원,0건
2022년 11월,강서구,공항동,기타간이>버거,I21004,"16,823,431원",947건
2022년 11월,강서구,가양2동,기타간이>버거,I21004,0원,0건
2022년 11월,강서구,등촌3동,기타간이>버거,I21004,0원,0건
2022년 11월,강서구,가양3동,기타간이>버거,I21004,0원,0건
2022년 11월,강서구,발산1동,기타간이>버거,I21004,0원,0건
