기준년도,자치구명,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,전체점포수,프랜차이즈비율(%),sh_closure_growth_ratio
2024,중구,234371427,18918715,39855817,47572239,43081517,37935883,47007256,429370,1156,92498,135843,107245,68881,23746,27958.0,18.74,-2.7460956085223365
2024,용산구,240035357,29278236,38425618,48567847,42994708,34398482,46370463,146853,216,32091,44476,37978,24420,7672,23419.0,14.32,-0.996724092217484
2024,성동구,294006275,38791741,51829061,53838671,48444109,43085977,58016718,76288,75,12762,18886,18532,16064,9968,21385.0,17.79,-1.630597316754144
2024,광진구,367362556,54787053,71267144,61258683,56028483,52135605,71885588,44240,46,6728,9208,10989,11822,5446,23558.0,20.29,1.1558636356189151
2024,동대문구,418135019,54725659,87996856,60282873,61606671,59067134,94455827,52850,0,7733,11700,12573,11997,8848,22357.0,18.76,-8.143692522130966
2024,중랑구,377334879,51670510,49799339,59230285,57039156,61918413,97677179,19274,0,1790,3938,5182,5421,2942,19753.0,19.39,0.1055859625076709
2024,성북구,473814550,82109895,83494576,63684843,71330083,70010079,103185079,58146,238,7235,14098,16364,14697,5515,20995.0,21.29,-1.7858033855583886
2024,강북구,372925026,52304171,52496627,47697517,55910095,61308668,103207947,16604,0,1109,2737,4278,4922,3559,16964.0,18.0,-0.3207720022877731
2024,도봉구,249102438,38118860,29936173,32382153,36773936,40832357,71058954,19730,0,1964,3956,5018,5434,3359,13061.0,20.19,0.0369391260521526
2024,노원구,376290262,68234760,52129976,45439249,56398161,59372710,94715408,35385,0,4140,6782,8473,9424,6566,20466.0,25.36,-0.4162675232163036
2024,은평구,391313729,62828625,50186258,58718166,63642815,60260387,95677480,32098,0,3034,6342,7700,7872,7151,21308.0,20.48,-0.2613800981045125
2024,서대문구,380085590,51374422,72974308,63297324,63701132,55260298,73478105,45642,0,5811,10218,10976,12933,5702,19549.0,19.72,-0.2163625725489284
2024,마포구,457734084,63924241,92435232,88512293,77997810,59763741,75100768,112488,24,21720,30848,27748,20520,11628,43848.0,15.71,2.2629205435012367
2024,양천구,310867458,66752264,34227852,41816230,52193006,46845602,69032507,76865,74,12016,19658,19163,16444,9510,18064.0,23.66,-1.0541515320560997
2024,강서구,455609493,73125932,61616253,82365854,76423661,62227123,99850674,65986,2,8494,15394,16403,16040,9655,32234.0,24.13,0.1303708525468147
2024,구로구,317235703,45607819,38444980,52663819,53637280,51304775,75577029,126978,195,20848,36427,31889,23539,14080,22436.0,23.24,0.547771005993274
2024,금천구,143385876,16217049,20536647,25877332,23159903,23852965,33741979,122202,288,21635,34650,29259,20066,16304,16706.0,24.31,4.07864240847979
2024,영등포구,433727992,51343251,64888012,85183677,74605083,66831004,90876971,356802,520,62334,117406,94501,58669,23373,34203.0,19.97,-2.8042770090843523
2024,동작구,327231529,48750902,60885730,53873451,49414273,44466455,69840718,39904,14,6321,9961,9397,8711,5501,18118.0,22.57,-2.4572107912270047
2024,관악구,508265050,54131576,119247687,99027503,72580927,64727787,98549566,41291,1,5777,10244,10194,9412,5663,26036.0,20.16,-3.648123339280004
2024,서초구,387525610,65888700,53875121,69297499,75894088,55960702,66609499,437357,590,76186,121409,111828,94207,33137,31295.0,21.04,-2.484920152759648
2024,강남구,577853121,95944690,90275921,114244649,116990581,77358394,83038889,1028385,2214,205084,315723,263238,170117,72009,57335.0,18.89,-0.4483619796044523
2024,송파구,484592112,83632031,62063760,82965528,81868915,70777664,103284208,352322,364,51085,88454,92587,80626,39206,38762.0,22.74,0.0486517937116414
2024,강동구,428566870,72567187,50276350,65798283,70775592,64597432,104552026,49572,0,6083,10538,11631,11742,9579,23644.0,21.95,0.1904809291596727
2025,종로구,263056536,27397173,50965996,42594314,42995441,42559409,56544201,223590,1828,39075,65997,63365,39373,13952,29096.0,14.43,-1.2710323168039368
2025,중구,228967886,18167870,38752305,46255892,42467016,36982615,46342187,406487,1094,88336,128485,101450,64910,22212,27956.0,18.1,-2.7460956085223365
2025,용산구,232602206,28511053,37707756,46751266,41999487,33590187,44042455,176024,215,37562,53215,46007,29909,9116,23140.0,13.86,-0.996724092217484
2025,성동구,290137603,38731834,51539387,53631888,47971258,42111375,56151859,73657,61,12038,17991,17855,15823,9889,20898.0,17.16,-1.630597316754144
2025,광진구,356922647,53356377,69593327,59811941,54810312,50009649,69341041,56058,53,8541,11600,13908,15107,6849,22933.0,19.76,1.1558636356189151
2025,동대문구,412482957,54445551,87189453,60917574,61144019,58149803,90636558,50705,0,7574,11215,12070,11567,8279,21565.0,18.12,-8.143692522130966
2025,중랑구,372068395,50601488,48964936,58966485,56782418,60374304,96378763,21334,0,2058,4454,5814,5950,3058,19103.0,19.23,0.1055859625076709
2025,성북구,475229528,81439790,85037959,64163243,70678415,71201170,102708958,68606,245,8330,16828,19629,17457,6117,20508.0,21.3,-1.7858033855583886
2025,강북구,356163775,48974114,50781320,45637021,53368834,59079178,98323306,14740,0,828,2349,3652,4424,3487,16254.0,18.01,-0.3207720022877731
2025,도봉구,243971260,36987029,29483670,31649511,36164452,39893887,69792714,20112,0,1965,3933,5127,5513,3574,12549.0,19.95,0.0369391260521526
2025,노원구,366179762,66043412,51275910,44543082,54620142,58069370,91627841,28109,0,3196,5475,6902,7505,5031,19776.0,25.35,-0.4162675232163036
2025,은평구,380913348,61344651,48430990,57274861,62000383,59466683,92395785,31146,0,3217,6600,8085,7917,5327,20268.0,20.13,-0.2613800981045125
2025,서대문구,382558291,51798318,73153319,63640293,64523138,56907032,72536194,35863,0,4147,7781,8857,10241,4837,18996.0,19.36,-0.2163625725489284
2025,마포구,447785849,63742764,89907132,85540655,77130557,59283343,72181399,120344,13,23065,33103,29655,22007,12501,42499.0,15.4,2.2629205435012367
2025,양천구,302396057,65185257,33164646,40256800,51019843,45738273,67031242,85678,95,13210,21514,21362,18641,10856,17299.0,23.0,-1.0541515320560997
2025,강서구,452927110,73751830,61009619,81681054,76880241,62131030,97473339,73335,0,9440,17130,18196,17774,10795,31334.0,23.5,0.1303708525468147
2025,구로구,316343790,45842112,38886376,52491107,53673205,51242701,74208285,122194,196,20681,35508,30908,22067,12834,21587.0,22.81,0.547771005993274
2025,금천구,140596374,16386921,20006576,25530838,22621744,22991692,33058609,131583,305,23298,37390,31562,21640,17388,16376.0,24.19,4.07864240847979
2025,영등포구,427077129,50968977,63882926,84510035,73880167,65241807,88593219,400232,581,70285,131895,105307,65868,26296,33919.0,19.26,-2.8042770090843523
2025,동작구,321228711,46981037,60537523,53389256,48270286,44478661,67571949,45111,12,7059,11338,10748,9848,6106,17556.0,22.61,-2.4572107912270047
2025,관악구,501010288,51666321,118857454,99394433,71835588,63720738,95535758,41999,0,5925,10647,10425,9419,5583,24836.0,20.14,-3.648123339280004
2025,서초구,387122321,66845876,53184368,68019050,76046776,57312743,65713513,434315,579,77630,122260,110191,90726,32929,30937.0,20.87,-2.484920152759648
2025,강남구,575558371,96757663,86811852,112065278,118539864,79116052,82267665,1079924,2069,214872,329426,275198,180204,78155,56013.0,18.56,-0.4483619796044523
2025,송파구,471569165,80841781,59815140,81074234,80647390,68845113,100345506,409883,455,59879,104946,109223,92010,43370,37729.0,22.35,0.0486517937116414
2025,강동구,425010545,71543745,49204358,65899786,71270540,63593028,103499089,51554,0,6394,11106,12040,12175,9839,23255.0,22.16,0.1904809291596727
