기준연도,자치구명,총_가구_수,1인_가구_수,점포_수,폐업_점포_수,1인가구_비중,1인가구비중_증가율,폐업_증가율,sh_closure_growth_ratio
2024,동대문구,687784,72355,481.5735294117647,1143,0.10520017912600467,-0.0008169742485168996,0.039090909090909065,-47.84839811275942
2025,동대문구,687784,73778,468.9117647058824,1132,0.10726914263780489,0.019666920046990555,-0.00962379702537186,-0.4893393069365989
2019,동작구,704938,60088,383.30882352941177,962,0.08523870184328267,,,
2020,동작구,726328,64101,390.8970588235294,924,0.08825351631769669,0.03536908011523887,-0.03950103950103945,-1.1168240557101825
2021,동작구,737176,68231,394.79411764705884,838,0.09255727261875048,0.04876583370979848,-0.09307359307359309,-1.908582013125552
2022,동작구,737176,71782,397.44117647058823,782,0.09737430410105592,0.05204379241107415,-0.06682577565632464,-1.2840297096048114
2023,동작구,738960,74443,397.25,1005,0.10074022951174624,0.03456687512957357,0.28516624040920724,8.249696836646777
2024,동작구,744312,75148,395.0,1003,0.10096303700598673,0.0022117032621462585,-0.0019900497512437276,-0.8997815327688055
2025,동작구,744312,75860,380.8529411764706,834,0.10191962510345125,0.00947463671687876,-0.16849451645064806,-17.783744272799453
2019,마포구,653485,59248,644.25,2015,0.09066466713084463,,,
2020,마포구,609999,63172,662.4558823529412,1991,0.10356082550955002,0.1422401778643716,-0.011910669975186083,-0.08373632650082248
2021,마포구,713244,67162,686.4705882352941,1706,0.09416412896568355,-0.0907360142952891,-0.1431441486690106,1.5775891169648
2022,마포구,713244,70030,715.8382352941177,1713,0.09818519328588814,0.04270271879932119,0.004103165298944944,0.09608674609753813
2023,마포구,715392,72112,735.8529411764706,2069,0.1008006799069601,0.02663829986519839,0.20782253356684177,7.801644047049397
2024,마포구,721836,73327,741.5,2211,0.10158401631395497,0.00777114209663976,0.06863218946350891,8.83167346704231
2025,마포구,721836,74562,725.5882352941177,2038,0.10329493125862384,0.016842363658679638,-0.07824513794663046,-4.6457337896458
2019,서대문구,550130,46449,333.13235294117646,906,0.08443277043607875,,,
2020,서대문구,563072,49863,339.47058823529414,885,0.08855528245055694,0.04882597116245524,-0.023178807947019875,-0.474722927064751
2021,서대문구,578192,52792,345.8529411764706,835,0.09130531034673603,0.03105436310605758,-0.05649717514124297,-1.819299109380943
2022,서대문구,578192,54288,355.0735294117647,758,0.09389268616653292,0.028337626913168767,-0.09221556886227544,-3.2541740049313015
2023,서대문구,580041,56170,358.5735294117647,940,0.09683798214264164,0.03136874762412045,0.24010554089709757,7.654291582634705
