자치구별(1),자치구별(2),시점,소계,20세미만,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
합계,동작구,2021,68231,943,8871,15186,10241,5462,3893,3363,3090,2873,3501,3160,2714,2194,1643,1097
합계,동작구,2022,71782,1074,9208,16126,10946,5630,4088,3406,3246,2903,3556,3401,2827,2320,1803,1248
합계,동작구,2023,74443,963,9521,16777,11533,5867,4198,3362,3320,2957,3653,3576,2867,2521,1914,1414
합계,동작구,2024,75148,856,8991,16673,12110,6090,4252,3355,3338,3082,3447,3770,2958,2641,2005,1580
합계,관악구,2019,119863,1023,14851,33127,19915,10984,6510,6184,4995,4930,4844,3683,3388,2763,1719,947
합계,관악구,2020,129233,1121,15893,36331,21802,11342,7063,6273,5345,5066,5321,4163,3553,2914,1946,1100
합계,관악구,2021,136255,734,15635,38989,23541,11571,7690,6311,5742,5231,5772,4780,3783,3095,2143,1238
합계,관악구,2022,145433,987,16553,41927,26092,11867,8195,6308,6140,5222,5850,5185,3999,3261,2429,1418
합계,관악구,2023,150745,1100,16292,42852,28129,12194,8570,6256,6287,5396,6066,5691,4184,3489,2654,1585
합계,관악구,2024,153605,1002,16175,41982,29730,12777,8653,6308,6379,5711,6026,6002,4476,3762,2780,1842
합계,서초구,2019,42667,521,2550,6448,6800,5479,3621,3590,2593,2336,2452,1858,1640,1275,829,675
합계,서초구,2020,43942,600,2884,6560,7187,5366,3703,3377,2697,2237,2440,2125,1800,1342,903,721
합계,서초구,2021,45933,297,2678,6870,7735,5463,4111,3412,2951,2329,2556,2428,1850,1464,1001,788
합계,서초구,2022,46745,278,2287,6924,7985,5412,4304,3387,3224,2311,2619,2524,1955,1561,1111,863
합계,서초구,2023,48756,261,2370,7255,8339,5612,4430,3345,3338,2481,2599,2732,2096,1723,1213,962
합계,서초구,2024,49443,210,2087,7218,8661,5677,4464,3374,3325,2580,2538,2819,2203,1938,1280,1069
합계,강남구,2019,66073,607,3362,10619,11474,9386,5964,5095,3551,3139,3386,2805,2470,1863,1255,1097
합계,강남구,2020,68999,498,3590,11221,12034,9433,6373,5181,3700,3152,3482,3061,2697,2061,1343,1173
합계,강남구,2021,71986,397,3559,11227,12407,9231,6990,5206,4370,3275,3731,3585,2872,2326,1509,1301
합계,강남구,2022,73579,465,3521,11277,12660,9044,7314,5242,4567,3361,3686,3781,3054,2455,1741,1411
합계,강남구,2023,76809,342,3329,11875,13605,9086,7670,5360,4819,3497,3767,4047,3209,2727,1877,1599
합계,강남구,2024,79274,344,3128,11788,14217,9359,7831,5588,4862,3763,3778,4336,3520,2985,2074,1701
합계,송파구,2019,68861,282,2906,10754,11025,8596,5673,5306,4144,4384,4663,3448,2962,2182,1434,1102
합계,송파구,2020,73694,284,3099,11972,11929,8942,6143,5334,4388,4341,4938,3994,3273,2295,1553,1209
합계,송파구,2021,79262,243,3250,13028,13086,9127,6677,5424,4876,4377,5367,4633,3519,2591,1752,1312
합계,송파구,2022,82473,273,3081,13102,14249,9143,7087,5401,5149,4428,5397,5037,3784,2854,2005,1483
합계,송파구,2023,87140,266,3122,13816,15541,9400,7443,5389,5403,4579,5576,5578,4026,3143,2214,1644
합계,송파구,2024,89720,244,2913,13955,16673,9846,7497,5363,5480,4659,5444,5828,4200,3416,2377,1825
합계,강동구,2019,45188,157,1859,5687,5270,4403,3306,3631,3332,3886,4134,3042,2500,1876,1276,829
합계,강동구,2020,50316,152,1971,6990,6124,4657,3746,3783,3592,3885,4585,3663,2809,2019,1385,955
합계,강동구,2021,56905,150,2392,8539,7152,5043,4158,3826,3889,4124,5100,4481,3162,2234,1582,1073
합계,강동구,2022,59752,145,2366,8926,7961,4904,4385,3743,4139,4079,5283,4879,3446,2439,1850,1207
합계,강동구,2023,62943,140,2279,9368,8721,5015,4472,3705,4267,4208,5455,5497,3746,2764,1959,1347
합계,강동구,2024,65601,145,2297,9511,9378,5413,4532,3798,4322,4193,5408,5839,4121,3079,2050,1515
