기준_년분기_코드,자치구_코드,자치구_코드_명,서비스_업종_코드,서비스_업종_코드_명,일반_점포_수,전체_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20261,11710,송파구,CS300023,미용재료,85,85,4.7,4,1.2,1,0
20261,11710,송파구,CS300022,화장품,887,933,1.5,14,3.6,34,46
20261,11710,송파구,CS300021,문구,262,296,3.4,10,2.4,7,34
20261,11710,송파구,CS300020,서적,219,224,0.9,2,0.9,2,5
20261,11710,송파구,CS300019,의료기기,323,324,0,0,1.9,6,1
20261,11710,송파구,CS300018,의약품,722,769,3.4,26,1.7,13,47
20261,11710,송파구,CS300017,시계및귀금속,203,215,1.9,4,3.3,7,12
20261,11710,송파구,CS300016,안경,122,173,2.9,5,1.7,3,51
20261,11710,송파구,CS300015,가방,175,176,0.6,1,2.3,4,1
20261,11710,송파구,CS300014,신발,246,249,0.4,1,2,5,3
20261,11710,송파구,CS300013,유아의류,98,109,0.9,1,5.5,6,11
20261,11710,송파구,CS300012,한복점,9,9,0,0,0,0,0
20261,11710,송파구,CS300011,일반의류,2278,2284,0.7,15,2.7,62,6
20261,11710,송파구,CS300010,반찬가게,881,909,1.5,14,1.9,17,28
20261,11710,송파구,CS300009,청과상,2460,2468,0.6,16,1.5,37,8
20261,11710,송파구,CS300008,수산물판매,1110,1114,0.2,2,1.5,17,4
20261,11710,송파구,CS300007,육류판매,501,506,0.6,3,3.6,18,5
20261,11710,송파구,CS300006,미곡판매,186,186,0,0,3.8,7,0
20261,11710,송파구,CS300005,주류도매,68,68,0,0,1.5,1,0
20261,11710,송파구,CS300004,핸드폰,340,347,0.6,2,1.7,6,7
20261,11710,송파구,CS300003,컴퓨터및주변장치판매,445,445,1.1,5,2.2,10,0
20261,11710,송파구,CS300002,편의점,186,558,1.3,7,2.3,13,372
20261,11710,송파구,CS300001,슈퍼마켓,506,710,4.1,29,3.9,28,204
20261,11710,송파구,CS200047,가정용품임대,71,71,0,0,1.4,1,0
20261,11710,송파구,CS200046,의류임대,13,14,0,0,0,0,1
20261,11710,송파구,CS200045,비디오/서적임대,21,22,4.5,1,0,0,1
20261,11710,송파구,CS200044,여행사,252,252,0.8,2,1.2,3,0
20261,11710,송파구,CS200043,건축물청소,314,318,0,0,2.2,7,4
20261,11710,송파구,CS200042,통번역서비스,148,148,0,0,2,3,0
20261,11710,송파구,CS200041,사진관,352,363,3.3,12,3,11,11
20261,11710,송파구,CS200040,녹음실,48,48,0,0,8.3,4,0
20261,11710,송파구,CS200039,DVD방,36,37,29.7,11,2.7,1,1
20261,11710,송파구,CS200038,독서실,203,235,4.7,11,6.4,15,32
20261,11710,송파구,CS200037,노래방,434,443,2,9,2.7,12,9
20261,11710,송파구,CS200036,고시원,5,5,0,0,0,0,0
20261,11710,송파구,CS200035,게스트하우스,32,33,0,0,3,1,1
20261,11710,송파구,CS200034,여관,161,164,4.9,8,3.7,6,3
20261,11710,송파구,CS200033,부동산중개업,2515,2521,0.2,4,2.2,56,6
20261,11710,송파구,CS200032,가전제품수리,150,151,6.6,10,3.3,5,1
20261,11710,송파구,CS200031,세탁소,333,423,2.4,10,2.4,10,90
20261,11710,송파구,CS200030,피부관리실,767,793,6.2,49,2.8,22,26
20261,11710,송파구,CS200029,네일숍,298,308,0,0,2.9,9,10
20261,11710,송파구,CS200028,미용실,1307,1433,2.4,34,2,29,126
20261,11710,송파구,CS200027,모터사이클수리,20,21,0,0,0,0,1
20261,11710,송파구,CS200026,자동차미용,121,127,3.9,5,3.1,4,6
20261,11710,송파구,CS200025,자동차수리,283,317,1.3,4,1.3,4,34
20261,11710,송파구,CS200024,스포츠클럽,411,434,0.9,4,3.9,17,23
20261,11710,송파구,CS200023,통신기기수리,39,39,7.7,3,0,0,0
20261,11710,송파구,CS200022,복권방,51,51,0,0,2,1,0
20261,11710,송파구,CS200021,기타오락장,66,82,2.4,2,0,0,16
20261,11710,송파구,CS200020,전자게임장,8,9,0,0,0,0,1
20261,11710,송파구,CS200019,PC방,62,70,0,0,7.1,5,8
20261,11710,송파구,CS200018,볼링장,9,9,22.2,2,11.1,1,0
20261,11710,송파구,CS200017,골프연습장,192,203,1.5,3,3.4,7,11
20261,11710,송파구,CS200016,당구장,264,267,1.9,5,5.6,15,3
20261,11710,송파구,CS200015,세무사사무소,704,704,0.1,1,1,7,0
20261,11710,송파구,CS200014,회계사사무소,79,79,1.3,1,0,0,0
20261,11710,송파구,CS200013,기타법무서비스,140,140,4.3,6,5,7,0
20261,11710,송파구,CS200012,법무사사무소,143,143,2.8,4,0.7,1,0
20261,11710,송파구,CS200011,변리사사무소,64,64,0,0,1.6,1,0
20261,11710,송파구,CS200010,변호사사무소,227,227,0.4,1,2.2,5,0
20261,11710,송파구,CS200009,동물병원,91,91,2.2,2,0,0,0
20261,11710,송파구,CS200008,한의원,267,267,2.2,6,0.7,2,0
20261,11710,송파구,CS200007,치과의원,341,341,1.8,6,1.8,6,0
20261,11710,송파구,CS200006,일반의원,749,749,1.3,10,1.2,9,0
20261,11710,송파구,CS200005,스포츠 강습,740,760,2.5,19,2.5,19,20
20261,11710,송파구,CS200004,컴퓨터학원,22,22,0,0,4.5,1,0
20261,11710,송파구,CS200003,예술학원,743,777,2.1,16,4,31,34
20261,11710,송파구,CS200002,외국어학원,186,192,4.7,9,3.6,7,6
20261,11710,송파구,CS200001,일반교습학원,1635,1821,1.9,34,3,54,186
20261,11710,송파구,CS100010,커피-음료,1189,1613,3.7,60,4.5,73,424
20261,11710,송파구,CS100009,호프-간이주점,694,817,2.3,19,3.7,30,123
20261,11710,송파구,CS100008,분식전문점,550,753,2.7,20,4,30,203
20261,11710,송파구,CS100007,치킨전문점,125,355,5.4,19,3.1,11,230
20261,11710,송파구,CS100006,패스트푸드점,177,429,3,13,3.7,16,252
20261,11710,송파구,CS100005,제과점,339,453,2.2,10,4.2,19,114
20261,11710,송파구,CS100004,양식음식점,447,510,2.2,11,4.7,24,63
20261,11710,송파구,CS100003,일식음식점,387,471,0.8,4,2.5,12,84
20261,11710,송파구,CS100002,중식음식점,269,321,3.4,11,2.8,9,52
20261,11710,송파구,CS100001,한식음식점,3041,3491,3.6,127,3.8,133,450
20261,11680,강남구,CS300043,전자상거래업,1501,1503,0.1,2,5.7,86,2
20261,11680,강남구,CS300042,주유소,65,65,0,0,4.6,3,0
20261,11680,강남구,CS300041,예술품,368,368,1.6,6,1.4,5,0
20261,11680,강남구,CS300040,재생용품 판매점,76,76,0,0,2.6,2,0
20261,11680,강남구,CS300039,모터사이클및부품,37,37,0,0,0,0,0
20261,11680,강남구,CS300038,자동차부품,255,255,0,0,0.4,1,0
20261,11680,강남구,CS300037,중고차판매,101,101,0,0,2,2,0
20261,11680,강남구,CS300036,조명용품,655,657,0,0,1.5,10,2
20261,11680,강남구,CS300035,인테리어,267,268,2.2,6,1.9,5,1
20261,11680,강남구,CS300034,악기,45,45,2.2,1,2.2,1,0
20261,11680,강남구,CS300033,철물점,106,106,0,0,0.9,1,0
20261,11680,강남구,CS300032,가전제품,163,163,0.6,1,1.2,2,0
20261,11680,강남구,CS300031,가구,488,489,1.6,8,1.8,9,1
20261,11680,강남구,CS300030,중고가구,7,7,0,0,0,0,0
20261,11680,강남구,CS300029,애완동물,220,223,4.5,10,3.1,7,3
20261,11680,강남구,CS300028,화초,736,744,2.2,16,3.4,25,8
20261,11680,강남구,CS300027,섬유제품,234,235,3.4,8,0.9,2,1
20261,11680,강남구,CS300026,완구,71,71,2.8,2,1.4,1,0
20261,11680,강남구,CS300025,자전거 및 기타운송장비,43,43,0,0,4.7,2,0
20261,11680,강남구,CS300024,운동/경기용품,523,523,1.5,8,2.1,11,0
20261,11680,강남구,CS300023,미용재료,94,94,4.3,4,1.1,1,0
20261,11680,강남구,CS300022,화장품,2571,2642,1.4,38,1.9,51,71
20261,11680,강남구,CS300021,문구,308,358,1.4,5,2,7,50
20261,11680,강남구,CS300020,서적,316,323,2.2,7,1.2,4,7
20261,11680,강남구,CS300019,의료기기,386,387,0.3,1,1.6,6,1
20261,11680,강남구,CS300018,의약품,879,938,2.7,25,2,19,59
20261,11680,강남구,CS300017,시계및귀금속,532,541,1.3,7,1.7,9,9
20261,11680,강남구,CS300016,안경,203,254,0.8,2,0.8,2,51
20261,11680,강남구,CS300015,가방,311,311,1.9,6,2.6,8,0
20261,11680,강남구,CS300014,신발,281,287,1,3,1.7,5,6
20261,11680,강남구,CS300013,유아의류,107,114,0.9,1,0,0,7
20261,11680,강남구,CS300012,한복점,42,42,2.4,1,2.4,1,0
20261,11680,강남구,CS300011,일반의류,3500,3508,1.3,44,2.2,77,8
20261,11680,강남구,CS300010,반찬가게,892,964,1.7,16,2.2,21,72
20261,11680,강남구,CS300009,청과상,286,295,0.7,2,2,6,9
20261,11680,강남구,CS300008,수산물판매,169,169,0.6,1,1.2,2,0
20261,11680,강남구,CS300007,육류판매,265,274,0.7,2,2.6,7,9
20261,11680,강남구,CS300006,미곡판매,198,198,0,0,2.5,5,0
20261,11680,강남구,CS300005,주류도매,129,129,0,0,0.8,1,0
20261,11680,강남구,CS300004,핸드폰,310,311,0.3,1,2.3,7,1
20261,11680,강남구,CS300003,컴퓨터및주변장치판매,619,619,0.6,4,1.5,9,0
20261,11680,강남구,CS300002,편의점,229,761,1.2,9,2.5,19,532
20261,11680,강남구,CS300001,슈퍼마켓,523,894,2.5,22,2.3,21,371
20261,11680,강남구,CS200047,가정용품임대,82,82,0,0,4.9,4,0
20261,11680,강남구,CS200046,의류임대,210,210,0,0,1,2,0
20261,11680,강남구,CS200045,비디오/서적임대,15,17,5.9,1,5.9,1,2
20261,11680,강남구,CS200044,여행사,620,620,0.8,5,2.6,16,0
20261,11680,강남구,CS200043,건축물청소,395,400,0,0,0.8,3,5
20261,11680,강남구,CS200042,통번역서비스,295,295,0,0,1.7,5,0
20261,11680,강남구,CS200041,사진관,1269,1277,1.2,15,1.9,24,8
20261,11680,강남구,CS200040,녹음실,238,238,0,0,1.7,4,0
20261,11680,강남구,CS200039,DVD방,34,34,29.4,10,8.8,3,0
20261,11680,강남구,CS200038,독서실,354,398,2.3,9,4.3,17,44
20261,11680,강남구,CS200037,노래방,226,235,2.6,6,3,7,9
20261,11680,강남구,CS200036,고시원,3,3,0,0,0,0,0
20261,11680,강남구,CS200035,게스트하우스,40,41,0,0,7.3,3,1
20261,11680,강남구,CS200034,여관,204,205,4.9,10,1,2,1
20261,11680,강남구,CS200033,부동산중개업,5311,5317,0.2,8,1.7,92,6
20261,11680,강남구,CS200032,가전제품수리,121,121,0.8,1,0.8,1,0
20261,11680,강남구,CS200031,세탁소,373,440,2.7,12,2.3,10,67
20261,11680,강남구,CS200030,피부관리실,1247,1292,5.7,73,2.9,37,45
20261,11680,강남구,CS200029,네일숍,359,376,0,0,4,15,17
20261,11680,강남구,CS200028,미용실,1645,1789,1.5,26,1.7,31,144
20261,11680,강남구,CS200027,모터사이클수리,24,24,0,0,0,0,0
20261,11680,강남구,CS200026,자동차미용,136,142,4.2,6,4.2,6,6
20261,11680,강남구,CS200025,자동차수리,249,278,1.4,4,1.8,5,29
20261,11680,강남구,CS200024,스포츠클럽,666,682,0.6,4,2.1,14,16
20261,11680,강남구,CS200023,통신기기수리,47,47,0,0,0,0,0
20261,11680,강남구,CS200022,복권방,35,35,2.9,1,2.9,1,0
20261,11680,강남구,CS200021,기타오락장,90,119,2.5,3,1.7,2,29
20261,11680,강남구,CS200020,전자게임장,16,17,0,0,0,0,1
20261,11680,강남구,CS200019,PC방,61,68,0,0,5.9,4,7
20261,11680,강남구,CS200018,볼링장,9,9,0,0,0,0,0
20261,11680,강남구,CS200017,골프연습장,267,287,1,3,1.7,5,20
20261,11680,강남구,CS200016,당구장,313,314,1.6,5,1.6,5,1
20261,11680,강남구,CS200015,세무사사무소,1779,1779,0.4,7,0.8,15,0
20261,11680,강남구,CS200014,회계사사무소,267,267,0,0,0,0,0
20261,11680,강남구,CS200013,기타법무서비스,347,347,0.3,1,2,7,0
20261,11680,강남구,CS200012,법무사사무소,257,257,5.1,13,0,0,0
20261,11680,강남구,CS200011,변리사사무소,449,449,0.2,1,1.8,8,0
20261,11680,강남구,CS200010,변호사사무소,650,650,1.5,10,1.2,8,0
20261,11680,강남구,CS200009,동물병원,110,111,1.8,2,0.9,1,1
20261,11680,강남구,CS200008,한의원,424,424,2.6,11,2.6,11,0
20261,11680,강남구,CS200007,치과의원,542,542,1.5,8,2.2,12,0
20261,11680,강남구,CS200006,일반의원,2431,2431,2.1,52,1.9,47,0
20261,11680,강남구,CS200005,스포츠 강습,1006,1026,2.1,22,3.2,33,20
20261,11680,강남구,CS200004,컴퓨터학원,61,62,0,0,0,0,1
20261,11680,강남구,CS200003,예술학원,953,982,1.9,19,3.2,31,29
20261,11680,강남구,CS200002,외국어학원,418,425,3.5,15,1.9,8,7
20261,11680,강남구,CS200001,일반교습학원,3176,3323,2,68,2.8,94,147
20261,11680,강남구,CS100010,커피-음료,1911,2561,2.7,68,3.3,84,650
20261,11680,강남구,CS100009,호프-간이주점,982,1120,2,22,4.9,55,138
20261,11680,강남구,CS100008,분식전문점,668,858,2.8,24,3.6,31,190
20261,11680,강남구,CS100007,치킨전문점,108,334,2.4,8,4.5,15,226
20261,11680,강남구,CS100006,패스트푸드점,313,583,1,6,3.3,19,270
20261,11680,강남구,CS100005,제과점,429,584,2.4,14,4.5,26,155
20261,11680,강남구,CS100004,양식음식점,1241,1365,3,41,3.4,46,124
20261,11680,강남구,CS100003,일식음식점,831,947,1.2,11,3.5,33,116
20261,11680,강남구,CS100002,중식음식점,404,475,3.4,16,4.8,23,71
20261,11680,강남구,CS100001,한식음식점,4361,4938,2.9,145,3.4,170,577
20261,11650,서초구,CS300043,전자상거래업,1058,1059,0,0,5.8,61,1
20261,11650,서초구,CS300042,주유소,53,53,0,0,3.8,2,0
20261,11650,서초구,CS300041,예술품,172,172,2.9,5,2.9,5,0
20261,11650,서초구,CS300040,재생용품 판매점,65,65,0,0,1.5,1,0
20261,11650,서초구,CS300039,모터사이클및부품,25,25,0,0,0,0,0
20261,11650,서초구,CS300038,자동차부품,211,212,0,0,1.4,3,1
20261,11650,서초구,CS300037,중고차판매,106,106,0,0,1.9,2,0
20261,11650,서초구,CS300036,조명용품,551,551,0,0,1.3,7,0
20261,11650,서초구,CS300035,인테리어,190,190,2.6,5,2.6,5,0
20261,11650,서초구,CS300034,악기,172,172,0,0,0,0,0
20261,11650,서초구,CS300033,철물점,82,82,2.4,2,1.2,1,0
20261,11650,서초구,CS300032,가전제품,149,149,0.7,1,1.3,2,0
20261,11650,서초구,CS300031,가구,325,326,0.9,3,0.6,2,1
20261,11650,서초구,CS300030,중고가구,10,10,0,0,0,0,0
20261,11650,서초구,CS300029,애완동물,117,119,5.9,7,6.7,8,2
20261,11650,서초구,CS300028,화초,910,914,2.1,19,2,18,4
20261,11650,서초구,CS300027,섬유제품,255,255,3.5,9,0.4,1,0
20261,11650,서초구,CS300026,완구,85,85,11.8,10,0,0,0
20261,11650,서초구,CS300025,자전거 및 기타운송장비,46,46,0,0,2.2,1,0
20261,11650,서초구,CS300024,운동/경기용품,303,303,2,6,1.7,5,0
20261,11650,서초구,CS300023,미용재료,62,62,4.8,3,1.6,1,0
20261,11650,서초구,CS300022,화장품,1038,1078,1.1,12,2.6,28,40
20261,11650,서초구,CS300021,문구,249,278,1.4,4,1.1,3,29
20261,11650,서초구,CS300020,서적,284,291,1,3,1.7,5,7
20261,11650,서초구,CS300019,의료기기,277,277,0,0,0.7,2,0
20261,11650,서초구,CS300018,의약품,584,614,3.3,20,1.3,8,30
20261,11650,서초구,CS300017,시계및귀금속,238,245,0.8,2,1.6,4,7
20261,11650,서초구,CS300016,안경,110,146,2.1,3,0.7,1,36
20261,11650,서초구,CS300015,가방,175,176,0,0,2.3,4,1
20261,11650,서초구,CS300014,신발,158,162,0.6,1,3.7,6,4
20261,11650,서초구,CS300013,유아의류,65,69,0,0,2.9,2,4
20261,11650,서초구,CS300012,한복점,14,14,0,0,0,0,0
20261,11650,서초구,CS300011,일반의류,1870,1873,1.2,23,2.1,40,3
20261,11650,서초구,CS300010,반찬가게,541,565,2.5,14,1.6,9,24
20261,11650,서초구,CS300009,청과상,181,184,0,0,2.2,4,3
20261,11650,서초구,CS300008,수산물판매,94,94,0,0,1.1,1,0
20261,11650,서초구,CS300007,육류판매,169,171,1.8,3,2.9,5,2
20261,11650,서초구,CS300006,미곡판매,831,831,0,0,2.6,22,0
20261,11650,서초구,CS300005,주류도매,76,76,0,0,1.3,1,0
20261,11650,서초구,CS300004,핸드폰,244,246,0.4,1,3.3,8,2
20261,11650,서초구,CS300003,컴퓨터및주변장치판매,663,664,0.5,3,2.3,15,1
20261,11650,서초구,CS300002,편의점,117,433,1.6,7,3.2,14,316
20261,11650,서초구,CS300001,슈퍼마켓,287,512,2.9,15,2.1,11,225
20261,11650,서초구,CS200047,가정용품임대,75,76,0,0,2.6,2,1
20261,11650,서초구,CS200046,의류임대,26,26,0,0,3.8,1,0
20261,11650,서초구,CS200045,비디오/서적임대,10,10,0,0,0,0,0
20261,11650,서초구,CS200044,여행사,392,392,0.3,1,2,8,0
20261,11650,서초구,CS200043,건축물청소,275,277,0.7,2,1.4,4,2
20261,11650,서초구,CS200042,통번역서비스,209,209,0,0,1.4,3,0
20261,11650,서초구,CS200041,사진관,478,480,0.6,3,1.5,7,2
20261,11650,서초구,CS200040,녹음실,112,112,0,0,0.9,1,0
20261,11650,서초구,CS200039,DVD방,13,13,7.7,1,0,0,0
20261,11650,서초구,CS200038,독서실,181,198,2.5,5,3,6,17
20261,11650,서초구,CS200037,노래방,198,210,2.4,5,3.3,7,12
20261,11650,서초구,CS200036,고시원,8,8,0,0,0,0,0
20261,11650,서초구,CS200035,게스트하우스,36,36,0,0,2.8,1,0
20261,11650,서초구,CS200034,여관,90,90,2.2,2,2.2,2,0
20261,11650,서초구,CS200033,부동산중개업,2957,2958,0,1,1.8,54,1
20261,11650,서초구,CS200032,가전제품수리,106,106,2.8,3,0,0,0
20261,11650,서초구,CS200031,세탁소,226,283,2.8,8,2.1,6,57
20261,11650,서초구,CS200030,피부관리실,593,615,4.4,27,2,12,22
20261,11650,서초구,CS200029,네일숍,219,221,0,0,0.9,2,2
20261,11650,서초구,CS200028,미용실,768,855,1.8,15,2.2,19,87
